0,14,10.530949,1,1
1,13,65.051556,10,2
2,12,2406.879663,30,4
3,11,7012.657881,81,8
4,10,16261.901617,204,16
5,9,34607.058764,499,32
6,8,72146.843672,1401,64
7,7,149009.189367,3118,128
8,6,319200.241804,6849,256
9,5,733031.986713,14814,512
10,4,1672783.422947,31230,1024
